"NO.","Title","Platform","User","Date","Minute"
"1","VWHealth","web","2","12-30-2022","37"
"2","VWHealth | Stress Management & Meditation","web","2","12-30-2022","16"
"3","VWHealth","web","1","12-30-2022","13"
"4","VWHealth","web","1","12-30-2022","14"
"5","VWHealth","web","1","12-30-2022","15"
"6","VWHealth","web","1","12-30-2022","16"
"7","VWHealth","web","1","12-30-2022","40"
"8","VWHealth | Behavioral Health Library","web","1","12-30-2022","14"
"9","VWHealth | Dashboard","web","1","12-30-2022","13"
"10","VWHealth | Dashboard","web","1","12-30-2022","14"
"11","VWHealth | Dashboard","web","1","12-30-2022","16"
"12","VWHealth | Music As Therapy","web","1","12-30-2022","16"
"13","VWHealth | Music As Therapy","web","1","12-30-2022","21"
"14","VWHealth | Stress Management & Meditation","web","1","12-30-2022","14"
